distribution,sample_size_mode,num_studies,average_group_n,heterogeneity_ratio,true_i2,method,point_bias_pct,point_mse_pct,variance_bias_pct,variance_mse_pct,coverage_z,average_width_z,coverage_t,average_width_t,fail_rate
log_normal,varying,30,100,0.3333,0.249981249531238,QE-FE,-9.08789182255605,1.61629913205592,-34.4498519992045,12.217179241102,0.695,3.52534367867789,0.718,3.67870912282563,0
log_normal,varying,30,100,1,0.5,DiVE,4.75652947477779,1.55262276170209,5.18584906280536,15.6154362293276,0.921,5.54338841151377,0.934,5.78454623988586,0
log_normal,varying,30,100,1,0.5,QE-RE,-2.81014768940325,1.29014393983086,-0.184137913066412,8.53052562577559,0.92,5.25829161827209,0.928,5.48704668529497,0
log_normal,varying,30,100,1,0.5,QE-FE,-9.06535363217721,2.21297569005463,-58.6220047630281,34.529334760831,0.629,3.52733531736184,0.653,3.68078740513335,0
log_normal,varying,30,100,3,0.75,DiVE,4.75044936433661,2.74135665541478,2.13392738449846,13.8292069910059,0.936,7.94086644419056,0.951,8.28632340388985,0
log_normal,varying,30,100,3,0.75,QE-RE,0.5904936975338,2.16535748805341,1.74270170779881,8.80992960638663,0.947,7.46993587612125,0.957,7.7949056202984,0
log_normal,varying,30,100,3,0.75,QE-FE,-9.01981567765704,3.52644486338624,-80.4415591693818,64.751607210931,0.542,3.5240827996618,0.559,3.67739339092484,0
log_normal,varying,30,300,0,0,DiVE,1.63446660055427,0.218489379976418,3.4293397363439,14.5349356401841,0.926,2.11682602502693,0.935,2.20891575956127,0
log_normal,varying,30,300,0,0,QE-RE,-3.02665805080774,0.280699934102179,15.1863746975448,8.92919817977064,0.899,2.2579409926678,0.914,2.35616974843261,0
log_normal,varying,30,300,0,0,QE-FE,-3.32001554914698,0.299321745535324,-0.930756436033421,0.290029501931954,0.861,2.10460071718451,0.881,2.19615860576623,0
log_normal,varying,30,300,0.3333,0.249981249531238,DiVE,1.67870755428261,0.296405940478607,2.07639531924425,16.4604164631504,0.932,2.62063510928343,0.941,2.73464239598154,0
log_normal,varying,30,300,0.3333,0.249981249531238,QE-RE,-2.52572737652557,0.327679243058965,1.77704320764568,8.79157003628278,0.918,2.57864420361324,0.926,2.6908247311397,0
log_normal,varying,30,300,0.3333,0.249981249531238,QE-FE,-3.26365882115318,0.376928540465629,-36.5398550877761,13.567074261586,0.811,2.10320238684835,0.831,2.19469944290631,0
log_normal,varying,30,300,1,0.5,DiVE,1.43585136430966,0.520569927820971,3.06868271021925,20.8902122981194,0.928,3.44074428671946,0.937,3.59042934549064,0
log_normal,varying,30,300,1,0.5,QE-RE,-1.75777549598358,0.453306806721976,-0.377581752652585,8.63175458895475,0.923,3.1809531190476,0.933,3.3193363044563,0
log_normal,varying,30,300,1,0.5,QE-FE,-3.45352584269514,0.622680255952469,-62.8703039785298,39.667350223369,0.704,2.10704654311549,0.724,2.19871083414032,0
log_normal,varying,30,300,3,0.75,DiVE,1.545982476674,1.09094959491507,-0.19974824467918,22.502844462312,0.931,5.07257861425608,0.942,5.29325448108149,0
log_normal,varying,30,300,3,0.75,QE-RE,-0.6972302568523,0.816627025315317,-0.632739628595734,8.24392480395751,0.943,4.45351667208575,0.95,4.64726106261563,0
log_normal,varying,30,300,3,0.75,QE-FE,-3.28014804740605,1.20240430582657,-83.5469000074687,69.8414174572965,0.526,2.10428074784252,0.545,2.19582471657848,0
normal,fixed,10,100,0,0,DiVE,-0.978412918929615,6.50062000771713,-1.21773706796486,23.5474508411698,0.904,0.212063442189234,0.937,0.24476002543924,0
normal,fixed,10,100,0,0,QE-RE,-1.07410363639779,6.5708220156034,15.9057878343576,14.1828819679065,0.951,0.23449010912307,0.98,0.270644503747127,0
